gene_symbol,clozapine,olanzapine,risperidone,haloperidol,aripiprazole,quetiapine,chlorpromazine,ziprasidone
DRD2,104.14883580722366,19.97498435543818,3.8496753109840327,1.5491933384829673,1.6000000000000008,309.0299999999999,3.4899856733230217,2.946183972531243
DRD3,318.9999999999999,43.98863489584549,13.490737563232047,6.300000000000006,3.9810000000000083,366.5160296630964,4.205000000000008,7.200000000000008
HTR1A,143.00000000000017,2720.0000000000027,251.18999999999969,3174.901573277511,6.260990336999414,230.00000000000009,673.0000000000002,2.499999999999999
HTR2A,9.120000000000006,4.000000000000001,0.49999999999999994,120.00000000000007,9.000000000000007,120.11494494857823,5.900000000000007,0.3000000000000001
HTR2B,7.180000000000012,12.000000000000007,19.950000000000003,1304.9999999999995,1.2590000000000001,135.89999999999992,52.000000000000036,1.5849999999999989
HTR2C,11.666619047521866,8.426149773176352,20.90000000000001,4634.990399127057,95.50000000000011,1729.0000000000007,30.00000000000001,1.3000000000000005
HRH1,1.8000000000000016,3.1304951684997064,25.534290669607422,440.00000000000045,37.002702603999104,10.0,2.8839642854931435,47.00000000000006
CHRM1,2.110260647408278,6.855654600401048,2800.0000000000014,1600.000000000001,,398.11000000000024,50.177684282955944,5100.000000000004
CHRM3,41.231056256176615,91.10433579144298,,,,,44.00000000000004,
ADRA1A,18.999999999999996,60.00000000000003,2.9933259094191547,11.489125293076066,26.000000000000014,44.721359549995796,,6.000000000000003
